DateTime,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure
02.09.2019,Partly cloudy,0.00,27,22,06:32:00,19:37:00,9:52:00,21:45:00,23,66,1012
01.09.2019,Partly cloudy,0.00,27,22,06:31:00,19:38:00,8:37:00,21:13:00,21,66,1011
31.08.2019,Patchy rain possible,0.50,26,22,06:30:00,19:40:00,7:21:00,20:40:00,22,63,1015
30.08.2019,Partly cloudy,0.00,27,22,06:29:00,19:42:00,6:4:00,20:5:00,20,64,1016
29.08.2019,Partly cloudy,0.00,27,23,06:27:00,19:43:00,4:47:00,19:26:00,24,61,1015
28.08.2019,Sunny,0.00,28,24,06:26:00,19:44:00,3:34:00,18:41:00,27,58,1016
27.08.2019,Partly cloudy,0.00,30,24,06:25:00,19:46:00,2:27:00,17:50:00,27,61,1016
26.08.2019,Sunny,0.00,30,24,06:24:00,19:47:00,1:31:00,16:51:00,25,66,1015
25.08.2019,Partly cloudy,0.00,30,24,06:23:00,19:49:00,12:42:00,15:49:00,20,69,1015
24.08.2019,Partly cloudy,0.00,30,24,06:22:00,19:50:00,12:3:00,14:45:00,19,71,1017
23.08.2019,Partly cloudy,0.00,28,24,06:21:00,19:52:00,,13:42:00,20,74,1016
22.08.2019,Partly cloudy,0.00,29,24,06:20:00,19:53:00,23:29:00,0:39:00,17,71,1016
21.08.2019,Patchy rain possible,0.50,28,21,06:19:00,19:55:00,23:0:00,11:39:00,15,70,1016
20.08.2019,Partly cloudy,0.00,27,22,06:18:00,19:56:00,22:33:00,10:39:00,20,65,1017
19.08.2019,Partly cloudy,0.00,26,22,06:17:00,19:58:00,22:8:00,9:42:00,18,61,1016
18.08.2019,Patchy rain possible,0.80,26,21,06:16:00,19:59:00,21:44:00,8:43:00,13,58,1015
17.08.2019,Torrential rain shower,15.70,25,18,06:15:00,20:1:00,21:18:00,7:45:00,19,72,1013
16.08.2019,Patchy rain possible,1.20,26,23,06:14:00,20:2:00,20:51:00,6:46:00,19,73,1011
15.08.2019,Cloudy,0.20,27,24,06:13:00,20:3:00,20:21:00,5:48:00,15,75,1007
14.08.2019,Partly cloudy,0.00,29,24,06:12:00,20:5:00,19:47:00,4:50:00,17,72,1007
13.08.2019,Sunny,0.00,29,24,06:11:00,20:6:00,19:8:00,3:54:00,28,61,1010
12.08.2019,Sunny,0.00,29,24,06:10:00,20:7:00,18:22:00,3:2:00,30,55,1013
11.08.2019,Sunny,0.00,28,23,06:09:00,20:9:00,17:31:00,2:14:00,26,63,1015
10.08.2019,Partly cloudy,0.00,30,23,06:08:00,20:10:00,16:33:00,1:31:00,20,59,1013
09.08.2019,Sunny,0.00,29,23,06:07:00,20:11:00,15:32:00,12:52:00,20,61,1011
08.08.2019,Sunny,0.00,29,23,06:06:00,20:12:00,14:26:00,12:18:00,19,59,1013
07.08.2019,Sunny,0.00,28,22,06:05:00,20:14:00,13:19:00,,22,59,1015
06.08.2019,Sunny,0.00,27,23,06:04:00,20:15:00,0:10:00,23:46:00,20,51,1015
05.08.2019,Partly cloudy,0.00,27,23,06:03:00,20:16:00,10:59:00,23:15:00,18,52,1013
04.08.2019,Partly cloudy,0.00,26,23,06:02:00,20:17:00,9:46:00,22:44:00,18,62,1008
03.08.2019,Partly cloudy,0.20,33,26,06:02:00,20:18:00,8:30:00,22:11:00,8,56,1007
02.08.2019,Partly cloudy,2.60,29,25,06:01:00,20:20:00,7:15:00,21:35:00,16,62,1010
01.08.2019,Partly cloudy,0.00,31,25,06:00:00,20:21:00,5:59:00,20:53:00,16,58,1009
31.07.2019,Partly cloudy,0.00,31,25,05:59:00,20:22:00,4:48:00,20:5:00,8,58,1008
30.07.2019,Partly cloudy,0.00,29,24,05:58:00,20:23:00,3:46:00,19:9:00,10,69,1005
29.07.2019,Partly cloudy,0.00,30,25,05:57:00,20:24:00,2:52:00,18:7:00,10,63,1003
28.07.2019,Partly cloudy,0.00,28,22,05:56:00,20:25:00,2:7:00,17:1:00,19,66,1007
27.07.2019,Sunny,0.00,28,23,05:55:00,20:26:00,1:31:00,15:55:00,19,59,1008
26.07.2019,Sunny,0.00,29,23,05:54:00,20:27:00,12:59:00,14:51:00,17,58,1013
25.07.2019,Partly cloudy,0.00,28,23,05:53:00,20:28:00,12:31:00,13:48:00,14,59,1015
24.07.2019,Patchy rain possible,3.10,26,23,05:52:00,20:29:00,12:5:00,0:48:00,18,64,1012
23.07.2019,Partly cloudy,0.00,30,24,05:51:00,20:29:00,,11:49:00,17,56,1013
22.07.2019,Partly cloudy,0.00,29,23,05:51:00,20:30:00,23:41:00,10:51:00,19,57,1017
21.07.2019,Sunny,0.00,28,23,05:50:00,20:31:00,23:16:00,9:53:00,20,59,1018
20.07.2019,Partly cloudy,0.00,28,22,05:50:00,20:32:00,22:49:00,8:55:00,24,62,1016
19.07.2019,Sunny,0.00,28,23,05:48:00,20:32:00,22:19:00,7:56:00,20,60,1014
18.07.2019,Partly cloudy,0.00,27,22,05:47:00,20:33:00,21:47:00,6:57:00,16,56,1010
17.07.2019,Partly cloudy,0.00,26,22,05:46:00,20:34:00,21:9:00,6:0:00,23,63,1007
